OrphaCode,DiseaseName,GeneSymbol,GeneId
803,Amyotrophic lateral sclerosis,ANXA11,25464
803,Amyotrophic lateral sclerosis,CFAP410,24382
803,Amyotrophic lateral sclerosis,GLE1,17465
803,Amyotrophic lateral sclerosis,NEK1,19821
803,Amyotrophic lateral sclerosis,GLT8D1,28129
803,Amyotrophic lateral sclerosis,CHCHD10,22968
803,Amyotrophic lateral sclerosis,DAO,19204
803,Amyotrophic lateral sclerosis,ATXN2,15338
803,Amyotrophic lateral sclerosis,CHMP2B,15446
803,Amyotrophic lateral sclerosis,SOD1,15536
803,Amyotrophic lateral sclerosis,TREM2,15655
803,Amyotrophic lateral sclerosis,VAPB,15704
803,Amyotrophic lateral sclerosis,VCP,15706
803,Amyotrophic lateral sclerosis,NEFH,16536
803,Amyotrophic lateral sclerosis,OPTN,16595
803,Amyotrophic lateral sclerosis,DCTN1,16942
803,Amyotrophic lateral sclerosis,TARDBP,17226
803,Amyotrophic lateral sclerosis,FIG4,17288
803,Amyotrophic lateral sclerosis,FUS,17369
803,Amyotrophic lateral sclerosis,ANG,17376
803,Amyotrophic lateral sclerosis,MATR3,18364
803,Amyotrophic lateral sclerosis,PRPH,18657
803,Amyotrophic lateral sclerosis,PON1,19320
803,Amyotrophic lateral sclerosis,PON2,19321
803,Amyotrophic lateral sclerosis,PON3,19322
803,Amyotrophic lateral sclerosis,SQSTM1,20429
803,Amyotrophic lateral sclerosis,UBQLN2,20541
803,Amyotrophic lateral sclerosis,C9ORF72,20676
803,Amyotrophic lateral sclerosis,PFN1,21413
803,Amyotrophic lateral sclerosis,TBK1,21615
803,Amyotrophic lateral sclerosis,HNRNPA1,22023
803,Amyotrophic lateral sclerosis,PPARGC1A,22335
803,Amyotrophic lateral sclerosis,ERBB4,22474
803,Amyotrophic lateral sclerosis,UNC13A,22966
100,Ataxia-telangiectasia,ATM,15962
399,Huntington disease,HTT,16190
399,Huntington disease,SLC2A3,22960
501,Lafora disease,EPM2A,15986
501,Lafora disease,NHLRC1,16545
567,22q11.2 deletion syndrome,TBX1,15584
567,22q11.2 deletion syndrome,TBX1,15584
567,22q11.2 deletion syndrome,ARVCF,15954
567,22q11.2 deletion syndrome,GP1BB,16158
567,22q11.2 deletion syndrome,UFD1,17262
567,22q11.2 deletion syndrome,HIRA,20679
567,22q11.2 deletion syndrome,COMT,19456
567,22q11.2 deletion syndrome,JMJD1C,22995
567,22q11.2 deletion syndrome,RREB1,23746
567,22q11.2 deletion syndrome,SEC24C,23747
232,Sickle cell anemia,HBB,16186
536,Systemic lupus erythematosus,BANK1,22153
536,Systemic lupus erythematosus,PXK,22392
536,Systemic lupus erythematosus,IGHG1,16246
536,Systemic lupus erythematosus,CTLA4,15818
536,Systemic lupus erythematosus,TREX1,15656
536,Systemic lupus erythematosus,HLA-DRB1,16202
536,Systemic lupus erythematosus,IL10,16253
536,Systemic lupus erythematosus,MECP2,16388
536,Systemic lupus erythematosus,FCGR3B,17361
536,Systemic lupus erythematosus,C4A,17447
536,Systemic lupus erythematosus,C4B,17448
536,Systemic lupus erythematosus,CR2,17458
536,Systemic lupus erythematosus,IRF5,19316
536,Systemic lupus erythematosus,PDCD1,19507
536,Systemic lupus erythematosus,PTPN22,21583
536,Systemic lupus erythematosus,STAT4,21733
536,Systemic lupus erythematosus,FCGR2B,21745
536,Systemic lupus erythematosus,DNASE1,22152
536,Systemic lupus erythematosus,BLK,19048
536,Systemic lupus erythematosus,ITGAM,22233
536,Systemic lupus erythematosus,KIAA0319L,22391
536,Systemic lupus erythematosus,JAZF1,22393
536,Systemic lupus erythematosus,TNIP1,22422
536,Systemic lupus erythematosus,TNFAIP3,22423
536,Systemic lupus erythematosus,UBE2L3,22424
536,Systemic lupus erythematosus,TNFSF4,22425
536,Systemic lupus erythematosus,SPP1,22426
536,Systemic lupus erythematosus,IRAK1,22427
536,Systemic lupus erythematosus,ETS1,22428
536,Systemic lupus erythematosus,TLR7,28542
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A1,15783
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A2,15784
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A3,15785
534,Oculocerebrorenal syndrome of Lowe,OCRL,16585
165991,Exercise-induced hyperinsulinism,SLC16A1,17735
652,Multiple endocrine neoplasia type 1,CDKN1B,18426
652,Multiple endocrine neoplasia type 1,CDKN2B,20850
652,Multiple endocrine neoplasia type 1,MEN1,16390
908,Fragile X syndrome,FMR1,16063
